userId,movieId,rating
1447,360,2
3804,1278,5
1512,1171,4
953,3911,5
2768,47,4
824,923,5
2847,3273,2
3032,553,5
3182,899,3
4967,2762,3
1613,2000,4
3536,2694,4
92,2987,4
125,2951,5
3807,2465,2
621,2279,2
5553,3418,2
5927,3618,4
977,1258,5
1230,364,5
412,2067,5
5847,1036,5
4892,2311,4
1415,1206,3
2228,316,5
5801,440,4
3178,1036,2
3673,909,5
151,3114,1
968,2318,4
2015,3415,1
1470,1929,3
1207,349,3
5699,3593,1
796,1287,5
1120,1732,5
1641,2315,3
1647,2328,3
4072,908,4
3881,551,4
4183,3180,2
3768,3113,2
948,2600,2
264,2015,3
4312,2826,4
1113,3785,2
3227,2333,5
3415,3754,1
3106,441,5
1889,1635,3
5795,1562,1
4633,1460,4
5107,110,4
5938,608,5
5937,589,4
4448,1713,4
4964,1810,3
5305,1537,5
3825,724,2
3768,2478,2
2472,2947,3
3008,329,3
60,158,2
3665,1278,5
2957,1213,5
1303,531,3
2478,1234,4
1875,3683,4
4070,1722,3
4088,1094,3
1902,457,4
2771,32,3
1778,215,4
3029,2759,4
1941,788,2
6001,3249,3
1327,2476,3
1179,1372,4
1299,2605,4
4312,1439,3
1242,377,4
2092,2529,3
1793,2616,2
5374,2694,3
1527,2762,4
3821,663,3
1352,3019,3
1841,543,1
4360,466,2
4451,2788,4
5689,581,2
3191,1721,4
5293,1500,3
5712,1261,5
1725,2710,3
5788,1261,4
3669,1,4
5630,480,3
523,2993,2
4979,2750,4
5605,2504,4
3823,1262,5
5808,307,4
1879,1961,4
17,2549,3
4763,3730,5
5526,509,4
1203,2108,4
1701,3125,2
3842,2677,3
2484,3081,4
5124,296,4
3884,1682,2
3191,852,4
805,11,5
5972,2375,4
1958,1183,3
3841,110,4
3807,2613,4
4367,1330,2
305,1982,3
1100,1011,1
823,3507,4
1726,2643,2
1147,3789,2
5136,3105,4
2922,593,5
127,3510,5
5737,1394,2
462,1028,3
4151,1387,5
5880,1269,4
3242,1438,2
583,1954,5
4543,2844,4
837,1036,4
5675,183,5
5193,2000,3
1181,112,4
4374,2,4
4086,2688,5
5268,1569,3
3778,376,3
699,990,3
5361,2132,2
2909,3643,5
5282,2033,3
3197,2291,4
587,804,3
5106,593,5
4333,3033,4
2445,2735,3
4456,2078,4
3836,3638,3
4950,909,5
4600,3108,2
2507,587,2
4276,3710,3
621,382,1
3408,2951,4
5679,111,4
2054,2599,4
6040,1991,1
3812,2528,3
1182,1883,4
3878,2012,3
5582,1953,4
753,2796,5
3610,346,1
3933,1225,4
73,3107,3
4626,1197,5
2018,2650,3
5111,1292,3
2002,3072,4
999,22,4
4487,780,5
5103,2403,4
3731,1270,4
585,2912,4
4459,1196,4
4802,2615,5
549,2384,3
4353,1587,3
476,362,4
3391,3497,4
1624,1858,2
5728,3398,4
1636,2369,3
3910,2750,3
1331,3510,4
4028,2915,4
4802,1550,3
1867,1394,2
743,2622,2
3882,2676,3
3140,1200,4
5689,1732,3
1504,861,3
1303,2001,1
3582,2748,1
974,1198,4
1968,3608,3
2085,288,4
4482,2247,4
5570,919,5
1207,2858,3
4962,1674,4
1880,2877,4
3622,1079,5
2901,1962,5
2242,1590,2
5872,2411,1
3404,2916,4
5044,3168,4
1451,246,5
3325,3115,1
3378,2953,3
3214,969,5
2203,2379,3
4299,364,5
3992,2797,4
1015,3952,4
198,339,4
1290,2396,5
2517,3286,4
1650,1172,5
1489,2971,4
126,3418,5
5180,1272,5
2555,648,2
4605,155,3
699,2664,4
2796,1584,3
5178,1460,4
984,1203,4
1202,2583,5
4543,585,3
4140,2266,3
5580,953,5
706,1643,4
3477,3362,4
5878,2278,5
1362,3948,3
2372,3255,5
2807,488,2
692,100,4
3471,1097,4
5896,171,3
2129,610,3
5689,1012,5
3913,2406,3
4981,2926,3
4116,2278,4
2383,3705,3
3967,1029,4
2872,2710,1
452,1120,5
5694,1014,3
2807,1226,4
6003,39,4
1107,356,5
1280,2959,4
1285,2956,3
90,208,3
4092,1097,4
5756,1721,5
1483,3654,3
532,1374,3
549,1918,1
1609,3675,4
4953,836,3
1698,1264,5
5706,2805,2
4310,2231,3
1941,3361,2
4848,736,3
1222,2396,3
169,1962,4
5691,3114,5
3808,2006,3
5838,943,4
4930,3334,4
2070,2276,5
1618,2920,4
752,2237,2
3621,356,4
2757,1912,4
5483,344,4
5681,2762,5
4953,3101,5
4729,2797,4
2088,3469,5
563,2808,1
3526,2985,5
3808,2505,4
2018,527,5
4169,2436,3
5926,2406,3
1125,2724,3
5433,1620,3
2870,628,2
2102,345,4
4041,2514,2
2304,25,3
1254,1247,5
4077,1101,4
5620,3824,3
2017,2412,3
2641,3253,3
3032,2195,5
4510,2018,5
2378,231,1
5878,1036,3
1087,1060,4
1140,3152,3
2023,2371,4
2129,2541,4
5643,1831,2
4016,2989,3
882,2287,5
2027,1235,5
3365,1732,3
486,2959,5
146,3111,4
302,1288,5
5522,608,5
173,2203,5
1223,2648,3
1390,497,4
889,28,5
4152,2858,3
5880,803,4
1472,1876,4
5362,2966,5
1347,2581,4
2451,2475,3
1248,1242,4
11,2302,4
2161,800,4
192,6,5
1902,20,3
533,2410,3
3471,2504,2
4014,3450,4
1369,1212,5
3400,2628,5
258,1210,5
1941,2975,3
62,105,4
5831,337,4
3981,953,5
1152,1215,3
4543,378,3
2334,1225,5
414,3062,4
3771,1371,2
26,2881,3
1912,1248,2
678,2450,4
463,3040,3
1491,3671,4
2181,1992,1
1015,2085,4
2479,1994,3
2507,608,5
5539,1946,4
2611,353,3
1579,1299,5
45,2473,4
3961,3699,2
5483,3704,3
4079,899,2
5730,47,3
4265,1035,5
4253,2716,4
